#Energy 	 #levels_created 	 #levels_model 	 #levels_model_from_tot 
2.86767	0	10.4103	10.3483
2.88302	0	10.5848	10.522
2.89837	0	10.7622	10.6987
2.91372	0	10.9426	10.8783
2.92908	0	11.1261	11.0609
2.94442	0	11.3126	11.2466
2.95978	0	11.5022	11.4354
2.97512	0	11.695	11.6274
2.99047	0	11.8911	11.8226
3.00582	0	12.0904	12.0211
3.02117	0	12.2931	12.2229
3.03652	0	12.4992	12.4281
3.05187	0	12.7088	12.6367
3.06723	0	12.9218	12.8489
3.08257	0	13.1385	13.0646
3.09793	0	13.3588	13.2839
3.11327	0	13.5828	13.5069
3.12862	0	13.8105	13.7336
3.14397	1	14.0421	13.9642
3.15932	0	14.2775	14.1986
3.17467	0	14.5169	14.437
3.19002	0	14.7604	14.6794
3.20538	0	15.0079	14.9258
3.22072	0	15.2595	15.1764
3.23608	0	15.5154	15.4312
3.25142	0	15.7756	15.6902
3.26677	0	16.0402	15.9536
3.28212	1	16.3092	16.2215
3.29747	0	16.5827	16.4938
3.31283	0	16.8608	16.7707
3.32817	0	17.1436	17.0522
3.34353	1	17.4311	17.3385
3.35887	0	17.7234	17.6296
3.37423	0	18.0207	17.9255
3.38957	0	18.3229	18.2265
3.40492	0	18.6302	18.5325
3.42028	0	18.9427	18.8436
3.43562	1	19.2604	19.1599
3.45097	0	19.5834	19.4816
3.46632	0	19.9119	19.8086
3.48168	0	20.2459	20.1412
3.49702	1	20.5854	20.4793
3.51238	0	20.9307	20.8231
3.52772	0	21.2818	21.1727
3.54307	0	21.6388	21.5281
3.55842	1	22.0017	21.8896
3.57377	1	22.3708	22.257
3.58913	0	22.746	22.6307
3.60447	0	23.1276	23.0106
3.61983	0	23.5155	23.3969
3.63517	0	23.91	23.7897
3.65053	1	24.3111	24.1891
3.66587	0	24.7189	24.5952
3.68122	1	25.1335	25.0081
3.69658	0	25.5552	25.4279
3.71192	0	25.9839	25.8548
3.72727	1	26.4197	26.2888
3.74262	0	26.8629	26.7302
3.75798	0	27.3136	27.1789
3.77332	0	27.7718	27.6352
3.78868	0	28.2377	28.0991
3.80402	1	28.7114	28.5708
3.81937	0	29.1931	29.0505
3.83472	0	29.6828	29.5382
3.85007	0	30.1808	30.0341
3.86543	0	30.6871	30.5383
3.88077	0	31.2019	31.051
3.89612	1	31.7254	31.5722
3.91148	3	32.2576	32.1023
3.92683	1	32.7988	32.6412
3.94217	0	33.3491	33.1892
3.95752	0	33.9086	33.7464
3.97288	0	34.4775	34.3129
3.98822	1	35.0559	34.8889
4.00357	0	35.644	35.4747
4.01892	0	36.2421	36.0702
4.03428	0	36.8501	36.6757
4.04962	0	37.4684	37.2915
4.06498	0	38.097	37.9175
4.08033	2	38.7362	38.5541
4.09567	1	39.3861	39.2013
4.11102	0	40.0469	39.8594
4.12637	3	40.7188	40.5286
4.14173	1	41.402	41.209
4.15707	0	42.0967	41.9008
4.17243	0	42.803	42.6042
4.18778	0	43.5211	43.3194
4.20312	3	44.2514	44.0467
4.21847	1	44.9938	44.7861
4.23382	0	45.7488	45.538
4.24918	0	46.5164	46.3025
4.26452	3	47.2969	47.0798
4.27987	0	48.0904	47.8702
4.29523	0	48.8973	48.6738
4.31058	0	49.7178	49.491
4.32592	2	50.552	50.3218
4.34127	0	51.4002	51.1666
4.35663	1	52.2627	52.0256
4.37197	0	53.1396	52.899
4.38732	0	54.0313	53.7871
4.40268	0	54.9379	54.6901
4.41803	2	55.8597	55.6082
4.43337	0	56.797	56.5417
4.44872	0	57.75	57.491
4.46408	0	58.7191	58.4561
4.47942	0	59.7044	59.4375
4.49477	2	60.7062	60.4353
4.51013	0	61.7248	61.4499
4.52548	0	62.7606	62.4815
4.54082	1	63.8137	63.5304
4.55617	1	64.8845	64.597
4.57153	3	65.9733	65.6814
4.58688	1	67.0803	66.7841
4.60222	1	68.2059	67.9053
4.61758	2	69.3504	69.0453
4.63293	1	70.5142	70.2044
4.64827	0	71.6974	71.383
4.66362	2	72.9005	72.5813
4.67897	1	74.1238	73.7998
4.69433	0	75.3677	75.0388
4.70967	3	76.6324	76.2985
4.72503	1	77.9183	77.5794
4.74038	2	79.2259	78.8818
4.75572	1	80.5553	80.2061
4.77107	2	81.9071	81.5526
4.78642	0	83.2816	82.9217
4.80178	2	84.6791	84.3138
4.81712	2	86.1001	85.7292
4.83248	1	87.5449	87.1684
4.84783	1	89.014	88.6318
4.86318	1	90.5078	90.1198
4.87852	1	92.0266	91.6327
4.89387	3	93.5709	93.171
4.90923	4	95.1412	94.7352
4.92457	1	96.7377	96.3256
4.93993	1	98.3611	97.9427
4.95528	0	100.012	99.5869
4.97063	0	101.69	101.259
4.98597	0	103.397	102.959
5.00132	2	105.132	104.687
5.01667	1	106.896	106.445
5.03202	4	108.69	108.232
5.04738	3	110.514	110.049
5.06273	0	112.368	111.896
5.07808	4	114.254	113.775
5.09342	0	116.172	115.685
5.10877	1	118.121	117.627
5.12412	2	120.103	119.602
5.13948	1	122.119	121.609
5.15483	3	124.168	123.651
5.17018	2	126.252	125.727
5.18553	5	128.371	127.838
5.20087	2	130.525	129.984
5.21622	2	132.716	132.166
5.23157	2	134.943	134.385
5.24693	2	137.208	136.641
5.26227	1	139.51	138.935
5.27763	1	141.851	141.267
5.29298	3	144.232	143.639
5.30832	2	146.653	146.05
5.32367	1	149.114	148.502
5.33902	1	151.616	150.995
5.35438	3	154.161	153.53
5.36972	3	156.748	156.107
5.38508	2	159.378	158.728
5.40043	1	162.053	161.393
5.41578	3	164.773	164.102
5.43112	6	167.538	166.857
5.44647	1	170.35	169.658
5.46183	7	173.209	172.506
5.47717	2	176.116	175.402
5.49253	2	179.071	178.347
5.50788	2	182.077	181.341
5.52323	4	185.132	184.386
5.53857	2	188.239	187.481
5.55392	5	191.398	190.628
5.56928	1	194.611	193.829
5.58462	2	197.877	197.083
5.59998	2	201.198	200.391
5.61533	4	204.574	203.755
